[2013-09-12 23:24:28,548](INFO)werkzeug :  * Detected change in '/opt/app/web/views.py', reloading
[2013-09-12 23:24:28,576](INFO)werkzeug :  * Restarting with reloader
[2013-09-12 23:24:31,958](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:31] "GET / HTTP/1.1" 200 -
[2013-09-12 23:24:32,001](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:32] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:24:32,005](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:32] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:24:32,007](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:32] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:24:32,017](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:32] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:24:32,018](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:32] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:24:50,296](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:50] "GET / HTTP/1.1" 200 -
[2013-09-12 23:24:50,325](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:50] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:24:50,328](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:50] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:24:50,331](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:50] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:24:50,333](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:50] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:24:50,336](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:24:50] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:25:19,147](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:19] "GET / HTTP/1.1" 200 -
[2013-09-12 23:25:19,180](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:19] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:25:19,183](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:19] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:25:19,187](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:19] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:25:19,190](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:19] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:25:19,194](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:19] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:25:31,602](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:31] "GET / HTTP/1.1" 200 -
[2013-09-12 23:25:31,633](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:31] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:25:31,635](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:31] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:25:31,638](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:31] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:25:31,641](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:31] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:25:31,644](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:25:31] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:33:52,646](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:33:52] "GET / HTTP/1.1" 200 -
[2013-09-12 23:33:52,712](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:33:52] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:33:52,715](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:33:52] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:33:52,716](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:33:52] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:33:52,718](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:33:52] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:33:52,730](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:33:52] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:35:15,463](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:15] "GET / HTTP/1.1" 200 -
[2013-09-12 23:35:15,497](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:15] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:35:15,501](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:15] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:35:15,502](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:15] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:35:15,505](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:15] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:35:15,508](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:15] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:35:19,434](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:19] "GET / HTTP/1.1" 200 -
[2013-09-12 23:35:19,466](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:19] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:35:19,469](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:19] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:35:19,471](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:19] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:35:19,474](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:19] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:35:19,479](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:19] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:35:20,714](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:20] "GET / HTTP/1.1" 200 -
[2013-09-12 23:35:20,756](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:20] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:35:20,761](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:20] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:35:20,764](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:20] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:35:20,770](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:35:20] "GET /static/css/style.css HTTP/1.1" 304 -
